# NanoFASE model output data - SEDIMENT.
# See summary.md for model run metadata.
#	x, y: grid cell (eastings and northings) index
#	easts, norths: eastings and northings at the centre of this grid cell (m)
#	w: waterbody index within this grid cell
#	waterbody_type: what type (river, estuary etc) of waterbody is this sediment in?
#	m_np_total(kg), C_np_total(kg/m3), C_np_total(kg/kg): NM mass (kg) and concentration (kg/m3 and kg/kg dry weight) for all layers
#	m_np_buried(kg): NM mass buried on this timestep (kg)
#	bed_area(m2): area of this bed sediment (m2)
#	sediment_mass(kg): total mass of fine sediment in this bed sediment (kg, *not* kg/m2)
t,datetime,x,y,easts,norths,w,waterbody_type,m_np_total(kg),C_np_total(kg/m3),C_np_total(kg/kg),m_np_buried(kg),bed_area(m2),sediment_mass(kg)
1,2015-01-01T00:00:00.000,29,9,532500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3651.9355246532969,14560.459970347174
1,2015-01-01T00:00:00.000,29,9,532500.000,217500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2371.2048194076706,9462.0021841364360
1,2015-01-01T00:00:00.000,30,9,537500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,4444.8295215955523,17710.243299370613
1,2015-01-01T00:00:00.000,31,9,542500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3750.2758074772637,14951.291615746681
1,2015-01-01T00:00:00.000,32,9,547500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,4277.5793868828814,17039.226301947921
1,2015-01-01T00:00:00.000,33,9,552500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,682.56998256245561,2726.3718737889062
1,2015-01-01T00:00:00.000,34,9,557500.000,217500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2182.4021841018493,8710.1950119156863
1,2015-01-01T00:00:00.000,2,10,397500.000,212500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,4029.3372685625932,16060.041573867826
1,2015-01-01T00:00:00.000,3,10,402500.000,212500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1250.0273901734317,4987.4705658626008
1,2015-01-01T00:00:00.000,4,10,407500.000,212500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,4343.6557573812233,17308.430058046302
1,2015-01-01T00:00:00.000,4,10,407500.000,212500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2629.8313776648606,10480.835507622847
1,2015-01-01T00:00:00.000,5,10,412500.000,212500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1579.3011260058584,6302.8345267047634
1,2015-01-01T00:00:00.000,6,10,417500.000,212500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,5047.9021497885860,20103.321244231051
1,2015-01-01T00:00:00.000,6,10,417500.000,212500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,5465.9302153843864,21719.442621579081
1,2015-01-01T00:00:00.000,7,10,422500.000,212500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2013.4702680259793,8030.9113408953044
1,2015-01-01T00:00:00.000,7,10,422500.000,212500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,9524.9078037280342,37805.586329956226
1,2015-01-01T00:00:00.000,8,10,427500.000,212500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,10335.465538869290,41003.149463332848
1,2015-01-01T00:00:00.000,9,10,432500.000,212500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,10649.312537312631,42241.113717713110
1,2015-01-01T00:00:00.000,10,10,437500.000,212500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,7751.8022350637120,30742.740369931507
1,2015-01-01T00:00:00.000,11,10,442500.000,212500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,11537.465931225077,45773.309946842186
1,2015-01-01T00:00:00.000,11,10,442500.000,212500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3545.9960682539127,14116.649259541869
1,2015-01-01T00:00:00.000,12,10,447500.000,212500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,8611.0860308486735,34126.439156381981
1,2015-01-01T00:00:00.000,12,10,447500.000,212500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,17783.410990780118,69698.939616968608
1,2015-01-01T00:00:00.000,13,10,452500.000,212500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,14798.688084491410,58614.673638313187
