# NanoFASE model output data - SEDIMENT.
# See summary.md for model run metadata.
#\tx, y: grid cell (eastings and northings) index
#\teasts, norths: eastings and northings at the centre of this grid cell (m)
#\twaterbody_type: what is the dominant waterbody type in this cell?
#\tm_np_total(kg), C_np_total(kg/m3), C_np_total(kg/kg): NM mass (kg) and concentration (kg/m3 and kg/kg dry weight) for all layers
#\tC_np_li(kg/m3), C_np_li(kg/kg): NM conc for layer i (kg/m3 and kg/kg)
#\tm_np_buried(kg): NM mass buried on this timestep (kg)
#\tbed_area(m2): area of this bed sediment (m2)
#\tsediment_mass(kg): total mass of fine sediment in this bed sediment (kg, *not* kg/m2)
#\tsediment_density(kg): average density of the sediment (kg/m3)
t,datetime,x,y,easts,norths,waterbody_type,m_np_total(kg),C_np_total(kg/m3),C_np_total(kg/kg),C_np_l1(kg/m3),C_np_l1(kg/kg),C_np_l2(kg/m3),C_np_l2(kg/kg),C_np_l3(kg/m3),C_np_l3(kg/kg),C_np_l4(kg/m3),C_np_l4(kg/kg),m_np_buried(kg),bed_area(m2),sediment_mass(kg),sediment_density(kg/m3)
4,2015-01-04T00:00:00.000,4,3,467500.000,202500.000,riv,6.6102185477939592,9.5522516894243695E-002,9.7418710194814573E-004,0.10445732094897776,0.10445732094897776,9.8066446978416211E-002,9.8066446978416211E-002,9.1591558530789235E-002,9.1591558530789235E-002,8.7974741118791638E-002,8.7974741118791625E-002,0.35276703496275580,1730.0158408886625,6785.3685750664044,98.053563533351138
5,2015-01-05T00:00:00.000,1,1,452500.000,212500.000,riv,10.180947156350934,9.3300584815842760E-002,9.5044151244011964E-004,9.9488887009009555E-002,9.9488887009009555E-002,9.7389935515562770E-002,9.7389935515562770E-002,9.2166595978001045E-002,9.2166595978001045E-002,8.4156920760797657E-002,8.4156920760797657E-002,0.73440487671397803,2727.9966690476954,10711.808168198419,98.165519492416877
5,2015-01-05T00:00:00.000,2,1,457500.000,212500.000,riv,5.7311204914015734,0.10090807177921840,1.0289094584557481E-003,0.10915239809467241,0.10915239809467241,0.10589715107217106,0.10589715107217107,9.8990587508493252E-002,9.8990587508493252E-002,8.9592150441536886E-002,8.9592150441536886E-002,0.32667695860301099,1419.8865656757109,5570.0921439707618,98.072839111293206
5,2015-01-05T00:00:00.000,3,1,462500.000,212500.000,riv,7.9362727871976668,0.12172695232251110,1.2404645066086191E-003,0.14423122100414010,0.14423122100414010,0.13269259501524278,0.13269259501524278,0.11400149748587524,0.11400149748587524,9.5982495784786306E-002,9.5982495784786306E-002,0.40461827096413638,1629.9333905034287,6397.8233515887687,98.130137278419809
5,2015-01-05T00:00:00.000,1,2,452500.000,207500.000,riv,10.322679887454591,5.3714078977601158E-002,5.4656665069734481E-004,5.3683383430112863E-002,5.3683383430112863E-002,5.3669784895464263E-002,5.3669784895464263E-002,5.3590142355897603E-002,5.3590142355897596E-002,5.3913005228929868E-002,5.3913005228929868E-002,1.8687881219451727,4804.4573762909740,18886.406395787693,98.275441630164011
5,2015-01-05T00:00:00.000,2,2,457500.000,207500.000,riv,6.3694532986841148,8.6487546606020677E-002,8.8164769980731425E-004,9.2098350316826075E-002,9.2098350316826075E-002,9.0236588267296747E-002,9.0236588267296747E-002,8.5548348931947002E-002,8.5548348931947002E-002,7.8066898908012897E-002,7.8066898908012897E-002,0.37864647592248590,1841.1475671946898,7224.4880807562586,98.097626325030603
5,2015-01-05T00:00:00.000,3,2,462500.000,207500.000,riv,21.947591344257820,9.8682735405760919E-002,1.0048571371328195E-003,0.10601416779701715,0.10601416779701715,0.10323759731195915,0.10323759731195915,9.6990217528173550E-002,9.6990217528173550E-002,8.8488958985893915E-002,8.8480735514821454E-002,1.4614445143754056,5560.1397105028609,21841.504163349382,98.205736675498486
5,2015-01-05T00:00:00.000,4,2,467500.000,207500.000,riv,6.4536456914723095,0.10380969960346484,1.0586008170836378E-003,0.10668546909867156,0.10668546909867156,0.10538587281190258,0.10538587281190258,0.10300966414878195,0.10300966414878195,0.10015779235450332,0.10015779235450331,0.36503340571327081,1554.2010670424706,6096.3921313149922,98.063120609950431
5,2015-01-05T00:00:00.000,1,3,452500.000,202500.000,riv,20.070577593600980,6.1367154358876894E-002,6.2421156061944632E-004,6.1750843201565132E-002,6.1750843201565146E-002,6.1631260934744310E-002,6.1631260934744310E-002,6.1192641841272051E-002,6.1192641841272051E-002,6.0893871457926095E-002,6.0855612797681355E-002,2.9538286194726142,8176.4334080247700,32153.485868931391,98.311467185865979
5,2015-01-05T00:00:00.000,2,3,457500.000,202500.000,riv,5.5993272500732099,8.2407844528744015E-002,8.4049921416863875E-004,8.4811382790010728E-002,8.4811382790010756E-002,8.4060842233272939E-002,8.4060842233272939E-002,8.2083209604363896E-002,8.2083209604363896E-002,7.8675943487328426E-002,7.8675943487328426E-002,0.39249608023821020,1698.6633394090518,6661.9065856137195,98.046307646171826
